Controller,HTTP Method,Path,FR Reference,Role(s),Test Class,Status,Notes
"AidRequestController","Get","/api/aid-requests","FR-27","hasAnyRole('CASE_MANAGER','ADMINISTRATOR','STAFF')","AidRequestControllerIT","Not Started",""
"AidRequestController","Get","/api/aid-requests/{id}","","hasAnyRole('CASE_MANAGER','ADMINISTRATOR','STAFF')","AidRequestControllerIT","Not Started",""
"AidRequestController","Get","/api/aid-requests/beneficiary/{beneficiaryId}","FR-21","hasAnyRole('CASE_MANAGER','ADMINISTRATOR','STAFF')","AidRequestControllerIT","Not Started",""
"AidRequestController","Post","/api/aid-requests","FR-22","hasAnyRole('STAFF','ADMINISTRATOR')","AidRequestControllerIT","Not Started",""
"AidRequestController","Put","/api/aid-requests/{id}","FR-49","hasAnyRole('STAFF','ADMINISTRATOR')","AidRequestControllerIT","Not Started",""
"AidRequestController","Patch","/api/aid-requests/{id}/approve","FR-29;FR-30","hasAnyRole('CASE_MANAGER','ADMINISTRATOR')","AidRequestControllerIT","Not Started",""
"AidRequestController","Patch","/api/aid-requests/{id}/deny","","hasAnyRole('CASE_MANAGER','ADMINISTRATOR')","AidRequestControllerIT","Not Started",""
"AidRequestController","Patch","/api/aid-requests/{id}/fulfill","FR-24","hasAnyRole('STAFF','ADMINISTRATOR')","AidRequestControllerIT","Not Started",""
"AidRequestController","Get","/api/aid-requests/{id}/history","FR-62","hasAnyRole('CASE_MANAGER','ADMINISTRATOR','STAFF')","AidRequestControllerIT","Not Started",""
"AidRequestController","Patch","/api/aid-requests/{id}/escalate","FR-55","hasAnyRole('CASE_MANAGER','ADMINISTRATOR')","AidRequestControllerIT","Not Started",""
"AuditController","Get","/api/audit","FR-90","hasRole('ADMINISTRATOR')","AuditControllerIT","Not Started",""
"AuthController","Post","/api/auth/register","FR-01","","AuthControllerIT","Not Started",""
"AuthController","Post","/api/auth/login","FR-03","","AuthControllerIT","Not Started",""
"AuthController","Get","/api/auth/setup-needed","FR-02","","AuthControllerIT","Not Started",""
"AuthController","Post","/api/auth/setup","FR-02","","AuthControllerIT","Not Started",""
"AuthController","Post","/api/auth/forgot-password","FR-10","","AuthControllerIT","Not Started",""
"AuthController","Post","/api/auth/reset-password","FR-10","","AuthControllerIT","Not Started",""
"AuthController","Post","/api/auth/logout","FR-13","","AuthControllerIT","Not Started",""
"AuthController","Post","/api/auth/mfa/setup","FR-11","hasRole('ADMINISTRATOR')","AuthControllerIT","Not Started",""
"AuthController","Post","/api/auth/mfa/confirm","","hasRole('ADMINISTRATOR')","AuthControllerIT","Not Started",""
"AuthController","Post","/api/auth/mfa/verify","","","AuthControllerIT","Not Started",""
"AuthController","Delete","/api/auth/mfa","","hasRole('ADMINISTRATOR')","AuthControllerIT","Not Started",""
"BeneficiaryController","Get","/api/beneficiaries","","hasAnyRole('STAFF','ADMINISTRATOR','CASE_MANAGER')","BeneficiaryControllerIT","Not Started",""
"BeneficiaryController","Get","/api/beneficiaries/{id}","FR-21","hasAnyRole('STAFF','ADMINISTRATOR','CASE_MANAGER')","BeneficiaryControllerIT","Not Started",""
"BeneficiaryController","Post","/api/beneficiaries","FR-19","hasAnyRole('STAFF','ADMINISTRATOR')","BeneficiaryControllerIT","Not Started",""
